,year,atmospheric co2 mean,atmospheric ch4 mean,atmospheric n2o mean,atmospheric sf6 mean,co2 emissions,co2 emissions growth%,methane emissions,nitrous oxide emissions,primary_energy_consumption,Eruptions_Total,Volcanoes_Active,ch4 emissions growth%,atmospheric co2 growth%,atmospheric ch4 growth%,Temperature Anomaly
251,2001,371.32,1771.29,316.36,4.78,25692.994140625,0.7114887237548828,7523.76220703125,2385.422607421875,111493.2890625,70.0,65.0,-0.278054825157914,0.435476454518402,-0.10884154250460076,0.53
252,2002,373.45,1772.68,316.94,4.98,26265.33203125,2.227604389190674,7480.67724609375,2402.93212890625,113894.4296875,74.0,66.0,-0.5726518163643668,0.5736292146935273,0.07847388061807958,0.62
253,2003,375.98,1777.33,317.63,5.23,27652.69140625,5.282092094421387,7668.74658203125,2419.463134765625,117849.6015625,64.0,62.0,2.514068308931594,0.6774668630338709,0.2623146873660165,0.61
254,2004,377.7,1777.13,318.25,5.45,28610.0234375,3.4619808197021484,7809.0361328125,2487.872802734375,123841.7421875,81.0,71.0,1.8293674107052071,0.457471142082011,-0.011252834307629023,0.53
255,2005,379.98,1774.25,318.91,5.67,29598.951171875,3.456580638885498,7929.64794921875,2510.2919921875,127936.71875,83.0,75.0,1.5445160498035904,0.6036536934074688,-0.16205905026644984,0.68
256,2006,382.09,1774.94,319.82,5.91,30594.15234375,3.36228609085083,8057.69287109375,2546.306396484375,131481.203125,86.0,76.0,1.6147617485037902,0.555292383809669,0.038889671692277084,0.64
257,2007,384.02,1781.33,320.44,6.18,31499.255859375,2.9584169387817383,8108.33837890625,2612.955810546875,135617.984375,81.0,76.0,0.628536091195353,0.5051165955664905,0.3600121694254277,0.66
258,2008,385.83,1787.01,321.5,6.46,32049.66015625,1.7473578453063965,8177.43701171875,2582.94921875,137229.40625,86.0,80.0,0.8521922690382544,0.47132961824905006,0.3188628721236375,0.54
259,2009,387.64,1793.54,322.27,6.75,31513.013671875,-1.674419641494751,8124.25634765625,2552.738037109375,135033.21875,75.0,68.0,-0.6503341326419165,0.46911852370215,0.3654148549812275,0.65
260,2010,390.1,1798.92,323.18,7.04,33317.671875,5.726706981658936,8257.109375,2617.386962890625,141602.046875,77.0,69.0,1.6352638525749752,0.6346094314312323,0.29996543149302113,0.72
